seed1,seed2,strategy,strategy_detail,seeding_approach,global_seed_flag,trial,final_loss,train_rmse,train_mae,train_mape,val_rmse,val_mae,val_mape,is_diagonal
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,10,1907531.25,581.1026459019095,418.9598911830357,8.184973500445574,383.9770081001155,335.584228515625,5.446382482206118,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,11,2194576.5,577.7355062362967,417.11058407738096,8.142662908357572,388.3210512639331,339.4677734375,5.5053016744214895,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,12,2242106.75,594.3755676905564,425.85081845238096,8.342632123996978,368.78135181317094,321.11328125,5.226836541413906,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,13,2360749.5,624.8800392315788,443.44940476190476,8.724495206514227,343.2172747054699,291.46875,4.777084608581869,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,14,2012392.25,547.86488225688,399.5288783482143,7.730270955121879,439.5320569055055,380.14892578125,6.122495676989371,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,15,2065945.25,544.874261668207,398.07777622767856,7.691608388644834,446.5544878112527,385.227783203125,6.199549549853919,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,16,2131643.0,601.5030145711917,429.9482886904762,8.4327283632274,361.7392985060072,313.798828125,5.1158653338466396,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,17,2275485.5,551.0544856197871,401.06138392857144,7.77045586176643,432.57535227761394,375.0263671875,6.0447787919033775,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,18,2262446.5,602.057739077391,430.2670665922619,8.43970606437385,361.2208942249913,313.240966796875,5.107401742081245,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,19,2291045.25,617.7601700105414,439.0703357514881,8.63181440331661,348.17363415858733,298.037353515625,4.876740160637854,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,20,2330331.25,585.1098786448252,421.10321335565476,8.234010910122722,379.0791701287528,331.083251953125,5.378095927376006,False
